"","otu_ids","rsq","pvals","adj_pvals"
"1",k__Bacteria.Other.Other.Other.Other.Other.Other,0.00203520825566591,0.845098049955154,0.934055739424117
"2",k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.Other.Other.Other,0.0115097693120932,0.0544510132277821,0.18542777477569
"3",k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__,0.0143379163955119,0.0157581389181522,0.0763663655264297
"4",k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae.g__Corynebacterium.Other,0.0107903285416771,0.0336749529324634,0.132595127171575
"5",k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae.g__Corynebacterium.s__,0.0512676627319615,4.53985148869588e-09,5.72021287575681e-07
"6",k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae.g__Corynebacterium.s__durum,0.0184922428727883,0.00286406992593998,0.0223023254014542
"7",k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae.g__Corynebacterium.s__kroppenstedtii,0.016179633824874,0.00860959025593343,0.0471655814020701
"8",k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Dermabacteraceae.g__Dermabacter.s__,0.00778933057847669,0.17349300225469,0.370510479391371
"9",k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Dermacoccaceae.g__Dermacoccus.s__,0.00656509571209866,0.309721186508694,0.506816487014227
"10",k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Intrasporangiaceae.g__Janibacter.s__,0.00377266362276271,0.621562829752864,0.799921882891134
"11",k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Microbacteriaceae.g__Leucobacter.s__,0.008463503636423,0.210285724782426,0.4140000206654
"12",k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Microbacteriaceae.g__Microbacterium.Other,0.00588762453510568,0.326372404152874,0.527216960554643
"13",k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__.s__,0.00613848626077466,0.347522298749684,0.547347620530752
"14",k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Kocuria.Other,0.00179438177937871,0.902354405624689,0.963530975497549
"15",k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Kocuria.s__rhizophila,0.00891158690701838,0.146377438288331,0.339005929965853
"16",k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Micrococcus.s__luteus,0.00656400916648944,0.385780758681128,0.592785068217343
"17",k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia.s__aeria,0.00640231891459242,0.233809360653506,0.442256081892234
"18",k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia.s__mucilaginosa,0.00566691237921826,0.435901301007548,0.638646092173849
"19",k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Mycobacteriaceae.g__Mycobacterium.s__,0.00326522411730606,0.654739042992465,0.816803162545056
"20",k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardioidaceae.g__.s__,0.00305540255372065,0.718216305444193,0.872992963491804
"21",k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Propionibacteriaceae.g__Propionibacterium.s__acnes,0.0117763377496951,0.0389164367443275,0.144219736170155
"22",k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Propionibacteriaceae.g__Propionibacterium.s__granulosum,0.00179295490172454,0.899608127954389,0.963530975497549
"23",k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Atopobium.s__,0.00959002075997799,0.131917582344077,0.319646449526032
"24",k__Bacteria.p__Bacteroidetes.c__.o__.f__.g__.s__,0.00413822156312811,0.538268649134949,0.724914345728336
"25",k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__,0.00092405333449945,0.965577770084729,0.993088779817535
"26",k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Porphyromonas.s__,0.0262047377744297,4.54038284130852e-05,0.00143022059501218
"27",k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__,0.00469826515260404,0.472376743953184,0.668758086944957
"28",k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__melaninogenica,0.0252077193322362,0.000370855059309588,0.00778795624550135
"29",k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__nanceiensis,0.00887445560187947,0.155627098699426,0.347235527687263
"30",k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Paraprevotellaceae..g__.Prevotella..s__,0.015641930233543,0.00787247936048859,0.0471655814020701
"31",k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Capnocytophaga.s__,0.00502102533896157,0.377637160871243,0.58743558357749
"32",k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__.Weeksellaceae..g__.s__,0.0155572222685709,0.0134624202039038,0.067850597827675
"33",k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__.Weeksellaceae..g__Chryseobacterium.s__,0.0048469276546162,0.540809115067171,0.724914345728336
"34",k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__.g__.s__,0.0181234826396724,0.00294997022372192,0.0223023254014542
"35",k__Bacteria.p__Firmicutes.c__Bacilli.Other.Other.Other.Other,0.00496031835875116,0.261569276703111,0.464193364290029
"36",k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.Other.Other,0.00231042255798745,0.829593628931047,0.925033603940813
"37",k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.Other,0.00741966355471879,0.235167916561743,0.442256081892234
"38",k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.s__,0.00958671443816739,0.111827396908647,0.287556163479378
"39",k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.s__aureus,0.0162907098010022,0.0278188095692012,0.120867931231702
"40",k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.s__epidermidis,0.00782368219327606,0.0317272114086025,0.128955762499481
"41",k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.s__haemolyticus,0.00872369283571686,0.140534234785506,0.334100256282524
"42",k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.s__pettenkoferi,0.0193758295404355,0.00380047300064081,0.0252031367410917
"43",k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae..g__Exiguobacterium.s__,0.0118931303969747,0.0465581278743659,0.167609260347717
"44",k__Bacteria.p__Firmicutes.c__Bacilli.o__Gemellales.f__.g__.s__,0.00380025038329801,0.750882842737532,0.877237041455178
"45",k__Bacteria.p__Firmicutes.c__Bacilli.o__Gemellales.f__Gemellaceae.Other.Other,0.0159820001492463,0.0093926848511177,0.0493115954683679
"46",k__Bacteria.p__Firmicutes.c__Bacilli.o__Gemellales.f__Gemellaceae.g__.s__,0.000500331863195771,0.993088779817535,0.993088779817535
"47",k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Aerococcaceae.g__Abiotrophia.s__,0.00922221029565011,0.105421828325603,0.283900541008508
"48",k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Aerococcaceae.g__Aerococcus.s__,0.0143763441288503,0.0261482589893302,0.117667165451986
"49",k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Aerococcaceae.g__Alloiococcus.s__,0.0219832270805661,0.00137676232928263,0.0133680087050125
"50",k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Aerococcaceae.g__Facklamia.s__,0.0127834223346165,0.0662270215767949,0.213964223555799
"51",k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Carnobacteriaceae.g__Granulicatella.s__,0.0245997351710812,3.56797787077045e-05,0.00143022059501218
"52",k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__,0.0132726699107611,0.0171467857696819,0.0800183335918487
"53",k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.Other,0.000561351708476349,0.989432663756176,0.993088779817535
"54",k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__,0.00262911040690783,0.791202810301393,0.906286855436142
"55",k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__iners,0.00839445423977466,0.157082738715667,0.347235527687263
"56",k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__Leuconostoc.s__,0.00638502462446108,0.124436785513787,0.307432058328179
"57",k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.Other.Other,0.00502739565391587,0.464515692933941,0.668758086944957
"58",k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__.s__,0.0281804233212371,8.66293920666706e-05,0.0021830606800801
"59",k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus.s__,0.00642316976497177,0.420942284885221,0.623985034065151
"60",k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.Other,0.0102504522669446,0.0899200236806226,0.263486581017638
"61",k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__,0.00392212233722097,0.535586061647967,0.724914345728336
"62",k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__anginosus,0.00370838930082252,0.628744942802935,0.800220836294645
"63",k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__infantis,0.00980080110384804,0.1066151877953,0.283900541008508
"64",k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.Other.Other.Other,0.00634623343108877,0.284133863381849,0.477344890481507
"65",k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__.s__,0.00395122309896799,0.59182658866471,0.776772397622432
"66",k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.Other.Other,0.00785380695468822,0.186942212059903,0.392578645325797
"67",k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.s__,0.0374459063513908,4.02888795520923e-07,2.53819941178181e-05
"68",k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__,0.00462391604065971,0.535463900258759,0.724914345728336
"69",k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Catonella.s__,0.0101823809579365,0.0849764182364636,0.254929254709391
"70",k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Oribacterium.s__,0.0126674939828095,0.0352263459611353,0.134500593669789
