SampleID	k__Bacteria|Other|Other	k__Bacteria|p__Actinobacteria|Other	k__Bacteria|p__Actinobacteria|c__Actinobacteria	k__Bacteria|p__Actinobacteria|c__Coriobacteriia	k__Bacteria|p__Actinobacteria|c__Thermoleophilia	k__Bacteria|p__Bacteroidetes|Other	k__Bacteria|p__Bacteroidetes|c__	k__Bacteria|p__Bacteroidetes|c__Bacteroidia	k__Bacteria|p__Bacteroidetes|c__Cytophagia	k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	k__Bacteria|p__Cyanobacteria|c__4C0d-2	k__Bacteria|p__Cyanobacteria|c__Chloroplast	k__Bacteria|p__Cyanobacteria|c__Nostocophycideae	k__Bacteria|p__Firmicutes|Other	k__Bacteria|p__Firmicutes|c__Bacilli	k__Bacteria|p__Firmicutes|c__Clostridia	k__Bacteria|p__Firmicutes|c__Erysipelotrichi	k__Bacteria|p__Fusobacteria|c__Fusobacteriia	k__Bacteria|p__Gemmatimonadetes|c__Gemm-1	k__Bacteria|p__Lentisphaerae|c__[Lentisphaeria]	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	k__Bacteria|p__Spirochaetes|c__[Brachyspirae]	k__Bacteria|p__Synergistetes|c__Synergistia	k__Bacteria|p__TM7|c__TM7-3	k__Bacteria|p__Tenericutes|c__Mollicutes	k__Bacteria|p__Tenericutes|c__RF3	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	k__Bacteria|p__WPS-2|c__	k__Bacteria|p__[Thermi]|c__Deinococci
J160TKZ0.03	0.0	0.0	0.0551320599354	0.0381894626527	0.0	0.0	0.0	0.133220216336	0.0	0.0	0.0	0.0	0.0	0.0	0.0178907838758	0.73593003381	0.00043666487842	0.000224570508902	0.0	0.0	0.0	0.0	0.0	0.00915748630744	0.00558931044378	0.0	0.0	0.0	0.0	0.0	0.00422941125098	0.0	0.0
D160TL08.03	4.34398575173e-05	0.0	0.0462200083984	0.0202864134606	0.0	0.0	0.0	0.314041209945	0.0	0.0	0.0	0.0	0.0	0.0	0.085605479214	0.508376652525	8.68797150345e-05	0.00212855301835	0.0	0.0	0.0	0.0090644502686	0.0	0.00884725098102	0.0052851826646	0.0	0.0	0.0	0.0	0.0	1.44799525058e-05	0.0	0.0
G160QY9R.03	0.0	0.0	0.0570532468458	0.0248057594982	0.0	0.0	0.0	0.0971701475515	0.0	0.0	0.0	0.0	0.0	0.0	0.00191032860503	0.431235298311	0.0	0.00567396108062	0.0	0.0	0.0	0.0031221042127	0.0	0.00102644522061	0.37562192601	0.0	0.0	0.0	0.0	0.0	0.00238078266448	0.0	0.0
A160T94J.03	0.000156845522845	0.0	0.0177862822906	0.0303182395659	0.0	0.0	0.0	0.000470536568534	0.0	0.0	0.0	0.0	0.0	0.0	0.0213466756591	0.836394435121	0.00144297881017	0.0	0.0	0.0	0.0	0.0	0.0	0.0143827344448	0.0684630707216	0.0	0.0	0.0	0.0	0.0	0.00923820129554	0.0	0.0
C160SYJK.03	1.32952203683e-05	0.0	0.0479957455295	0.00426776573822	0.0	0.0	0.0	0.000983846307253	0.0	0.0	0.0	0.0	0.0	0.0	0.000678056238782	0.934108887855	0.000611580136941	0.0	0.0	0.0	0.0	0.0	0.0	2.65904407366e-05	0.0113142325334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D160RXDT.03	0.0	0.0	0.0389292175227	0.053997114658	0.0	0.0	0.0	0.251001854863	0.0	0.0	0.000698435961437	0.0	0.0	0.0	0.000423641484806	0.460738739151	0.000389292175227	1.14497698596e-05	0.0	0.0	0.0	0.00656071812957	0.00385857244269	0.000240445167052	0.177242437427	0.0	0.0	4.57990794385e-05	0.0	0.0	0.00586228216813	0.0	0.0
K160TL2F.03	0.0	0.0	0.0640429440808	0.00235388678379	0.0	0.0	0.0	0.0342748880468	0.0	0.0	0.0	0.0	0.0	0.0	0.0448673785739	0.832787920542	0.000200941554714	0.0	0.0	0.0	0.0	0.0	2.87059363876e-05	0.00341600643013	0.0167068549776	0.0	0.0	0.0	0.0	0.0	0.00132047307383	0.0	0.0
C160SW2B.03	1.61015038805e-05	0.0	0.0156828647796	0.0121566354297	0.0	0.0	0.0	0.259282516987	0.0	0.0	1.61015038805e-05	0.0	0.0	0.0	0.0346504363508	0.553151064309	0.0	0.0260361317747	0.0	0.0	0.0	0.0056838308698	0.00389656393907	0.0721830418961	0.017244710656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B160T2L7.03	0.000170609645132	0.0	0.00668789808917	0.099169699727	0.0	0.0	0.0	0.00214968152866	0.0	0.0	0.0	0.0	0.0	5.68698817106e-05	0.0130004549591	0.716264786169	0.00090991810737	0.0	0.0	0.0	3.41219290264e-05	0.0	0.0	0.000284349408553	0.161271610555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B160SZ50.03	0.0	0.0	0.00262007529269	0.0362535681289	0.0	0.0	0.0	0.16860874002	0.0	0.0	0.00241322724327	0.0	0.0	0.0	0.0026890246425	0.774825213398	8.27392197692e-05	0.00235806776342	0.0	0.0	0.0	0.00564005681426	0.00128245790642	0.00103424024711	0.00205469062427	0.0	0.0	0.0	0.0	0.0	0.000137898699615	0.0	0.0
K160SJSS.03	0.0	0.0	0.00449710186769	0.00977148060139	0.0	0.0	0.0	0.139465677674	0.0	0.0	0.000177663283662	0.0	0.0	0.0	0.0125696773191	0.692242776877	0.000144351417975	0.00196540007551	0.0	0.0	0.0	0.0114370738857	0.00449710186769	0.016156254858	0.106464722734	0.0	0.0	0.0	0.0	0.0	0.000610717537587	0.0	0.0
D160TBMP.03	0.0	0.0	0.00269670657537	0.0172321462724	0.0	0.0	0.0	0.150996442642	0.0	0.0	0.000210381364036	0.0	0.0	0.0	0.0575106146961	0.565600734422	1.91255785488e-05	0.117928317332	0.0	0.0	0.0	0.0101174310523	0.00885514286807	0.0107485751444	0.0122977470068	0.0	0.045691007153	0.0	0.0	0.0	9.56278927438e-05	0.0	0.0
E160SYKG.03	1.33643385989e-05	0.0	0.090890866811	0.00553283617994	0.0	0.0	0.0	0.0927618742148	0.0	0.0	0.0	0.0	0.0	0.0	0.0151685243097	0.761018897175	0.00882046347526	0.0	0.0	0.0	0.0	0.0	0.00060139523695	0.00171063534066	0.0234811429182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
