SampleID	k__Bacteria|Other|Other|Other	k__Bacteria|p__Actinobacteria|Other|Other	k__Bacteria|p__Actinobacteria|c__Actinobacteria|Other	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Gaiellales	k__Bacteria|p__Bacteroidetes|Other|Other	k__Bacteria|p__Bacteroidetes|c__|o__	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	k__Bacteria|p__Cyanobacteria|c__4C0d-2|o__YS2	k__Bacteria|p__Cyanobacteria|c__Chloroplast|o__Streptophyta	k__Bacteria|p__Cyanobacteria|c__Nostocophycideae|o__Stigonematales	k__Bacteria|p__Firmicutes|Other|Other	k__Bacteria|p__Firmicutes|c__Bacilli|Other	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	k__Bacteria|p__Firmicutes|c__Bacilli|o__Gemellales	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	k__Bacteria|p__Firmicutes|c__Bacilli|o__Turicibacterales	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales	k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	k__Bacteria|p__Gemmatimonadetes|c__Gemm-1|o__	k__Bacteria|p__Lentisphaerae|c__[Lentisphaeria]|o__Victivallales	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__RF32	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|Other	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bdellovibrionales	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	k__Bacteria|p__Spirochaetes|c__[Brachyspirae]|o__[Brachyspirales]	k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	k__Bacteria|p__TM7|c__TM7-3|Other	k__Bacteria|p__TM7|c__TM7-3|o__	k__Bacteria|p__TM7|c__TM7-3|o__CW040	k__Bacteria|p__TM7|c__TM7-3|o__EW055	k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales	k__Bacteria|p__Tenericutes|c__RF3|o__ML615J-28	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	k__Bacteria|p__WPS-2|c__|o__	k__Bacteria|p__[Thermi]|c__Deinococci|o__Deinococcales	k__Bacteria|p__[Thermi]|c__Deinococci|o__Thermales
J160TKZ0.03	0.0	0.0	0.0	0.0152458423266	0.0398862176088	0.0381894626527	0.0	0.0	0.0	0.133220216336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0178284031789	6.23806969171e-05	0.73593003381	0.00043666487842	0.000224570508902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00915748630744	0.0	0.0	0.00558931044378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00422941125098	0.0	0.0	0.0
D160TL08.03	4.34398575173e-05	0.0	0.0	0.0114102025745	0.0348098058238	0.0202864134606	0.0	0.0	0.0	0.314041209945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.89599050115e-05	0.0	0.0855620393565	1.44799525058e-05	0.508376652525	8.68797150345e-05	0.00212855301835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0090644502686	0.0	0.0	0.0	0.0	0.00884725098102	0.0	0.0	0.00424262608419	0.0	0.00104255658041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44799525058e-05	0.0	0.0	0.0
G160QY9R.03	0.0	0.0	0.0	0.00286549290755	0.0541877539383	0.0248057594982	0.0	0.0	0.0	0.0971701475515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.27685508589e-05	0.0	0.00186756005417	0.0	0.431235298311	0.0	0.00567396108062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031221042127	0.0	0.0	0.0	0.0	0.00102644522061	0.0	0.0	0.37562192601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00238078266448	0.0	0.0	0.0
A160T94J.03	0.000156845522845	0.0	0.0	0.0160139278824	0.00177235440814	0.0303182395659	0.0	0.0	0.0	0.000470536568534	0.0	0.0	0.0	0.0	0.0	0.0	1.56845522845e-05	1.56845522845e-05	0.0	0.0212996220023	1.56845522845e-05	0.836394435121	0.00144297881017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0143827344448	0.0	0.0	0.0684630707216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00923820129554	0.0	0.0	0.0
C160SYJK.03	1.32952203683e-05	0.0	0.0	0.0235458352722	0.0244499102573	0.00426776573822	0.0	0.0	0.0	0.000983846307253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000186133085156	0.0	0.000491923153626	0.0	0.934108887855	0.000611580136941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.65904407366e-05	0.0	0.0	0.0113142325334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D160RXDT.03	0.0	0.0	0.0	0.00061828757242	0.0383109299503	0.053997114658	0.0	0.0	0.0	0.251001854863	0.0	0.0	0.000698435961437	0.0	0.0	0.0	0.0	0.0	3.43493095789e-05	0.000389292175227	0.0	0.460738739151	0.000389292175227	1.14497698596e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00656071812957	0.0	0.0	0.0	0.00385857244269	0.000240445167052	0.0	0.0	0.177242437427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.57990794385e-05	0.0	0.0	0.0	0.0	0.00586228216813	0.0	0.0	0.0
K160TL2F.03	0.0	0.0	0.0	0.0294809966701	0.0345619474107	0.00235388678379	0.0	0.0	0.0	0.0342748880468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.74118727753e-05	0.0	0.0448099667011	0.0	0.832787920542	0.000200941554714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.87059363876e-05	0.00341600643013	0.0	0.0	0.0167068549776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00132047307383	0.0	0.0	0.0
C160SW2B.03	1.61015038805e-05	0.0	0.0	0.015489646733	0.000193218046566	0.0121566354297	0.0	0.0	0.0	0.259282516987	0.0	0.0	1.61015038805e-05	0.0	0.0	0.0	8.05075194023e-05	0.00159404888417	0.0	0.0329758799472	0.0	0.553151064309	0.0	0.0260361317747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0056838308698	0.0	0.0	0.0	0.00389656393907	0.0721830418961	0.0	0.0	0.0170192896016	0.0	0.000225421054326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B160T2L7.03	0.000170609645132	0.0	0.0	4.54959053685e-05	0.0066424021838	0.099169699727	0.0	0.0	0.0	0.00214968152866	0.0	0.0	0.0	0.0	0.0	5.68698817106e-05	3.41219290264e-05	0.000250227479527	0.0	0.0127161055505	0.0	0.716264786169	0.00090991810737	0.0	0.0	0.0	0.0	0.0	0.0	3.41219290264e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000284349408553	0.0	0.0	0.16004322111	0.0	0.000932666060055	0.000295723384895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B160SZ50.03	0.0	0.0	0.0	0.000468855578692	0.002151219714	0.0362535681289	0.0	0.0	0.0	0.16860874002	0.0	0.0	0.00241322724327	0.0	0.0	0.0	0.0	8.27392197692e-05	0.0	0.00260628542273	0.0	0.774825213398	8.27392197692e-05	0.00235806776342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00564005681426	0.0	0.0	0.0	0.00128245790642	0.00103424024711	0.0	0.0	0.00204090075431	0.0	1.37898699615e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000137898699615	0.0	0.0	0.0
