SampleID	Unclassified|Other	k__Bacteria|Other	k__Bacteria|p__Actinobacteria	k__Bacteria|p__Bacteroidetes	k__Bacteria|p__Chlorobi	k__Bacteria|p__Chloroflexi	k__Bacteria|p__Cyanobacteria	k__Bacteria|p__Firmicutes	k__Bacteria|p__Fusobacteria	k__Bacteria|p__GN02	k__Bacteria|p__Proteobacteria	k__Bacteria|p__SR1	k__Bacteria|p__Spirochaetes	k__Bacteria|p__TM7	k__Bacteria|p__Tenericutes	k__Bacteria|p__WPS-2	k__Bacteria|p__[Thermi]
G160SRK8.04	0.0	0.0	0.0039461151177	0.0310829461734	0.0	0.0	0.0	0.936473378302	0.00382948117334	0.0	0.0243181774002	5.83169721828e-05	0.0	0.000291584860914	0.0	0.0	0.0
J160SVP4.04	0.0	0.0	0.00849100390422	0.0285581674721	0.0	0.0	0.0	0.956207169574	0.00273022633576	0.0	0.00401343271357	0.0	0.0	0.0	0.0	0.0	0.0
C160SRG0.04	0.0	0.0	0.00158518654659	0.0593181400478	0.0	0.0	0.0	0.808077559272	0.101727623599	0.0	0.0290387796361	0.0	0.0	0.000252710898732	0.0	0.0	0.0
J160SKKM.04	0.0	0.0	0.0259491316911	0.00557892026435	0.0	0.0	0.0	0.962692758848	0.0	0.0	0.00577918919692	0.0	0.0	0.0	0.0	0.0	0.0
F160T884.04	0.0	0.0	0.00157949291696	0.000904917817009	0.0	0.0	0.0	0.997515589266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E160T0GR.04	0.0	0.0	0.00019170554029	0.000639018467634	0.0	0.0	0.0	0.998338551984	0.000527190235798	0.0	0.000303533772126	0.0	0.0	0.0	0.0	0.0	0.0
F160SGBR.04	0.0	0.0	0.000514840270806	0.0306072540994	0.0	0.0	0.0	0.923005637501	0.000926712487451	0.0	0.0449455556414	0.0	0.0	0.0	0.0	0.0	0.0
F160SBCG.04	0.0	0.0	0.00366066383313	0.0318895413115	0.0	0.0	0.0	0.963786453087	0.000417659631968	0.0	0.000147409281871	0.0	0.0	9.82728545807e-05	0.0	0.0	0.0
G160SL0Q.04	0.0	0.0	0.00589903573454	0.00186046511628	0.0	0.0	0.0	0.992104367555	0.0	0.0	0.000136131593874	0.0	0.0	0.0	0.0	0.0	0.0
K160SP9B.04	0.0	0.0	0.0160119956088	0.0395212466865	0.0	0.0	0.0	0.870190376737	0.0147267518141	0.0	0.0582376094465	0.0	0.0	0.00131201970707	0.0	0.0	0.0
C160TGYC.04	0.0	0.0	0.00358226777452	0.0108711876213	0.0	0.0	0.0	0.970247275984	0.00465197273496	0.0	0.0106472958854	0.0	0.0	0.0	0.0	0.0	0.0
J160SB14.04	0.0	0.0	0.00276520100884	0.0	0.0	0.0	0.0	0.99644474156	1.51934121365e-05	0.0	0.000774864018961	0.0	0.0	0.0	0.0	0.0	0.0
G160NVWW.04	0.0	0.0	0.000185471406491	0.0	0.0	0.0	0.0	0.999793920659	0.0	0.0	2.06079340546e-05	0.0	0.0	0.0	0.0	0.0	0.0
K160NXTL.04	0.0	1.70099848611e-05	0.00158192859208	0.00399734644236	0.0	0.0	0.0	0.991358927691	0.00210923812278	0.0	0.000935549167361	0.0	0.0	0.0	0.0	0.0	0.0
K160SMPB.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.262598843385	0.0	0.0	0.737401156615	0.0	0.0	0.0	0.0	0.0	0.0
A160P055.04	0.0	0.0	0.00656238763035	4.49478604818e-05	0.0	0.0	0.0	0.993212873067	0.0	0.0	0.000179791441927	0.0	0.0	0.0	0.0	0.0	0.0
A160SNGK.04	0.0	0.0	2.26167590184e-05	4.52335180369e-05	0.0	0.0	0.0	0.820061065249	2.26167590184e-05	0.0	0.179848467715	0.0	0.0	0.0	0.0	0.0	0.0
G160SS7Q.04	0.0	0.0	0.016518250318	0.0	0.0	0.0	0.0	0.952656815735	0.0	0.0	0.0308249339466	0.0	0.0	0.0	0.0	0.0	0.0
K160SNXJ.04	0.0	0.0	0.00229427601545	0.0	0.0	0.0	0.0	0.0963361816692	0.0	0.0	0.901369542315	0.0	0.0	0.0	0.0	0.0	0.0
D160SS9J.04	0.0	0.0	0.00140015796654	0.0	0.0	0.0	0.0	0.991473396999	3.59014863215e-05	0.0	0.0070905435485	0.0	0.0	0.0	0.0	0.0	0.0
F160SQ2R.04	0.0	0.0	4.13257293991e-05	0.0	0.0	0.0	0.0	0.946255888916	2.06628646996e-05	0.0	0.0536821224895	0.0	0.0	0.0	0.0	0.0	0.0
H160SR97.04	0.0	0.0	0.00179761608452	0.0	0.0	0.0	0.0	0.997566304378	0.0	0.0	0.000636079537598	0.0	0.0	0.0	0.0	0.0	0.0
H160TBMG.04	0.0	0.0	0.00390243902439	0.0112891986063	0.0	0.0	0.0	0.975714285714	0.0011149825784	0.0	0.00742160278746	0.000522648083624	0.0	3.48432055749e-05	0.0	0.0	0.0
