SampleID	Unclassified|Other|Other	k__Bacteria|Other|Other	k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	k__Bacteria|p__Actinobacteria|c__Actinobacteria	k__Bacteria|p__Actinobacteria|c__Coriobacteriia	k__Bacteria|p__Actinobacteria|c__Thermoleophilia	k__Bacteria|p__Bacteroidetes|Other	k__Bacteria|p__Bacteroidetes|c__Bacteroidia	k__Bacteria|p__Bacteroidetes|c__Cytophagia	k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	k__Bacteria|p__Bacteroidetes|c__[Saprospirae]	k__Bacteria|p__Chlorobi|c__OPB56	k__Bacteria|p__Chloroflexi|c__Anaerolineae	k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	k__Bacteria|p__Cyanobacteria|c__4C0d-2	k__Bacteria|p__Cyanobacteria|c__Chloroplast	k__Bacteria|p__Cyanobacteria|c__ML635J-21	k__Bacteria|p__Firmicutes|Other	k__Bacteria|p__Firmicutes|c__Bacilli	k__Bacteria|p__Firmicutes|c__Clostridia	k__Bacteria|p__Firmicutes|c__Erysipelotrichi	k__Bacteria|p__Fusobacteria|c__Fusobacteriia	k__Bacteria|p__GN02|c__3BR-5F	k__Bacteria|p__GN02|c__BD1-5	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	k__Bacteria|p__SR1|c__	k__Bacteria|p__Spirochaetes|c__Spirochaetes	k__Bacteria|p__TM7|c__TM7-3	k__Bacteria|p__Tenericutes|c__Mollicutes	k__Bacteria|p__WPS-2|c__	k__Bacteria|p__[Thermi]|c__Deinococci
G160SRK8.04	0.0	0.0	0.0	0.00392667612698	1.94389907276e-05	0.0	0.0	0.0298971677391	0.0	0.00089419357347	0.000291584860914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.89981144179	0.036039888809	0.000622047703283	0.00382948117334	0.0	0.0	0.0	0.0187197480707	0.0	0.0011274614622	0.00447096786735	5.83169721828e-05	0.0	0.000291584860914	0.0	0.0	0.0
J160SVP4.04	0.0	0.0	0.0	0.000491440740437	0.00799956316379	0.0	0.0	0.0282578425751	0.0	0.000300324896934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83176345319	0.124443716384	0.0	0.00273022633576	0.0	0.0	0.0	0.0	0.0	0.00401343271357	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C160SRG0.04	0.0	0.0	0.0	0.00156221282852	2.29737180665e-05	0.0	0.0	0.0577099797831	0.0	0.00160816026466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78861882007	0.019343870612	0.000114868590333	0.101727623599	0.0	0.0	0.0	0.0272238559088	0.0	0.000620290387796	0.00119463333946	0.0	0.0	0.000252710898732	0.0	0.0	0.0
J160SKKM.04	0.0	0.0	0.0	0.00406259834635	0.0218865333448	0.0	0.0	0.00557892026435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.934740937831	0.0279518210168	0.0	0.0	0.0	0.0	0.000743856035247	0.000114439390038	0.0	0.00492089377164	0.0	0.0	0.0	0.0	0.0	0.0	0.0
F160T884.04	0.0	0.0	0.0	0.00157949291696	0.0	0.0	0.0	0.0	0.0	0.000904917817009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.991888645749	0.00562694351668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E160T0GR.04	0.0	0.0	0.0	0.000143779155218	4.79263850725e-05	0.0	0.0	0.000159754616908	0.0	0.000479263850725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.990670330373	0.0076682216116	0.0	0.000527190235798	0.0	0.0	0.0	0.0	0.0	0.000303533772126	0.0	0.0	0.0	0.0	0.0	0.0	0.0
F160SGBR.04	0.0	0.0	0.0	0.000514840270806	0.0	0.0	0.0	0.0303240919505	0.0	0.000283162148943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.891600380982	0.0314052565192	0.0	0.000926712487451	0.0	0.0	0.0	0.044404973357	0.0	0.0	0.000540582284346	0.0	0.0	0.0	0.0	0.0	0.0
F160SBCG.04	0.0	0.0	0.0	0.00363609561949	2.45682136452e-05	0.0	0.0	0.0314227452522	0.0	0.000466796059259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.935090779549	0.0286956735376	0.0	0.000417659631968	0.0	0.0	0.0	0.0	0.0	0.000147409281871	0.0	0.0	0.0	9.82728545807e-05	0.0	0.0	0.0
G160SL0Q.04	0.0	0.0	0.0	0.00580828133863	9.07543959161e-05	0.0	0.0	0.00022688598979	0.0	0.00163357912649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.977129892229	0.0149744753261	0.0	0.0	0.0	0.0	2.2688598979e-05	4.5377197958e-05	0.0	0.0	6.8065796937e-05	0.0	0.0	0.0	0.0	0.0	0.0
K160SP9B.04	0.0	0.0	0.0	0.0154497014486	0.000562294160174	0.0	0.0	0.0229469569176	0.0	0.0165742897689	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.824939084799	0.0437250649316	0.00152622700619	0.0147267518141	0.0	0.0	0.0	0.0106568131309	0.0	0.00747047955659	0.040110316759	0.0	0.0	0.00131201970707	0.0	0.0	0.0
C160TGYC.04	0.0	0.0	0.0	0.00350763719588	7.46305786358e-05	0.0	0.0	0.0105726653067	0.0	0.000298522314543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.97537190905e-05	0.944425095776	0.0257724264889	0.0	0.00465197273496	0.0	0.0	0.0	0.0083586248072	0.0	0.00226379421862	2.48768595453e-05	0.0	0.0	0.0	0.0	0.0	0.0
J160SB14.04	0.0	0.0	0.0	0.00276520100884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99644474156	0.0	0.0	1.51934121365e-05	0.0	0.0	0.0	1.51934121365e-05	0.0	0.0	0.000759670606825	0.0	0.0	0.0	0.0	0.0	0.0
G160NVWW.04	0.0	0.0	0.0	0.000185471406491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999505409583	0.000288511076765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.06079340546e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K160NXTL.04	0.0	1.70099848611e-05	0.0	0.0015308986375	5.10299545833e-05	0.0	0.0	0.00348704689653	0.0	0.000510299545833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.988756400007	0.00260252768375	0.0	0.00210923812278	0.0	0.0	0.0	0.000629369439861	0.0	0.000272159757778	3.40199697222e-05	0.0	0.0	0.0	0.0	0.0	0.0
K160SMPB.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.262598843385	0.0	0.0	0.0	0.0	0.0	0.0	0.000314725205555	0.0	0.0	0.73708643141	0.0	0.0	0.0	0.0	0.0	0.0
A160P055.04	0.0	0.0	0.0	0.00656238763035	0.0	0.0	0.0	4.49478604818e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.993190399137	2.24739302409e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000179791441927	0.0	0.0	0.0	0.0	0.0	0.0
