# Constructed from biom file
OTU_ID	NAS_CST_1	NAS_CST_2	NAS_CST_3	NAS_CST_4	NAS_CST_5	NAS_CST_6	NAS_CST_7	REC_CST_1	REC_CST_2	REC_CST_3	REC_CST_4	REC_CST_5	REC_CST_6	THR_CST_1	THR_CST_2	THR_CST_3	THR_CST_4	THR_CST_5	THR_CST_6
Unclassified;Other;Other;Other;Other;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27629730835e-06	0.0	0.0	0.0
k__Bacteria;Other;Other;Other;Other;Other;Other	3.92222660446e-06	5.44397552108e-05	5.61389501393e-05	7.46765298256e-06	0.000306355707118	5.27787483203e-07	0.0	0.0101209650632	0.00874220655475	0.00300287956542	0.00274715777928	0.00140853672963	0.00156781978934	7.67701272081e-06	3.80790245208e-06	0.000511795220649	0.000642676633197	0.000207723712367	5.46687076318e-07
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;Other;Other;Other	0.0	0.0	0.0	0.0	5.10349821472e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__;s__	1.39456945936e-06	3.51224227166e-07	2.85567923451e-05	3.07491593399e-06	2.26012063795e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__RB40;g__;s__	0.0	3.51224227166e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__mb2424;g__;s__	4.44519015172e-06	0.0	4.87317275514e-07	0.0	2.12888782671e-05	0.0	0.0	1.5770423635e-06	0.0	6.33335502404e-06	8.78856127736e-07	2.65556671967e-06	1.65064144795e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__	0.0	4.39030283958e-07	1.44245913552e-05	1.50817305334e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus;s__	0.0	0.0	0.0	0.0	5.97838362296e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;Other;Other;Other	0.0	0.0	0.0	2.34279309257e-06	0.0	0.000110835371473	0.0	9.51153675485e-05	6.25046048314e-07	0.0	2.92952042579e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__;s__	0.0	8.78060567916e-08	2.53404983267e-06	7.17480384599e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725;f__;g__;s__	0.0	0.0	3.89853820411e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
