SampleID	k__Bacteria|Other	k__Bacteria|p__Acidobacteria	k__Bacteria|p__Actinobacteria	k__Bacteria|p__Armatimonadetes	k__Bacteria|p__Bacteroidetes	k__Bacteria|p__Chlorobi	k__Bacteria|p__Chloroflexi	k__Bacteria|p__Cyanobacteria	k__Bacteria|p__Elusimicrobia	k__Bacteria|p__FBP	k__Bacteria|p__Firmicutes	k__Bacteria|p__Fusobacteria	k__Bacteria|p__Gemmatimonadetes	k__Bacteria|p__Nitrospirae	k__Bacteria|p__Planctomycetes	k__Bacteria|p__Proteobacteria	k__Bacteria|p__SR1	k__Bacteria|p__Spirochaetes	k__Bacteria|p__Synergistetes	k__Bacteria|p__TM7	k__Bacteria|p__Tenericutes	k__Bacteria|p__Verrucomicrobia	k__Bacteria|p__WPS-2	k__Bacteria|p__WS3	k__Bacteria|p__[Thermi]
H160S6Y9.04	0.0	0.000103050288541	0.58529987634	0.0	0.00334913437758	0.0	0.000231863149217	0.000283388293487	0.0	0.000437963726298	0.210119538335	0.0	0.0	0.0	0.0	0.200072135202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000103050288541
J160S903.04	0.0	0.0	0.00218749453126	0.0	0.0175874560314	0.0	0.0	0.0	0.0	0.0	0.753040617398	0.0	0.0	0.0	0.0	0.227184432039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K160R985.04	0.0	0.0	0.621533977523	0.0	7.87732381052e-05	0.0	0.0	0.0	0.0	0.0	0.378032769667	0.0	0.0	0.0	0.0	0.000328221825439	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.62577460351e-05
J160S010.04	0.0	0.00210371017977	0.662067646577	0.0	0.0105048904431	0.0	0.000327850937107	0.0	0.0	0.0	0.269630074859	0.0	0.0	0.0	0.0	0.0547511064969	0.0	0.0	0.0	0.000614720507076	0.0	0.0	0.0	0.0	0.0
G160TPYP.04	0.0	4.66684556241e-05	0.415850940953	0.0	0.00169173151637	0.0	0.0	0.0	0.0	0.0	0.549941081075	5.83355695302e-05	0.0	0.0	0.0	0.032411242431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
F160S601.04	0.0	0.00405906229778	0.303017824578	0.0	0.0238837578681	0.0	0.0	0.00370610035884	0.0	0.0	0.437702217778	0.0297958703453	0.0	0.0	0.0	0.1942173069	0.0	0.0	0.0	0.00361785987411	0.0	0.0	0.0	0.0	0.0
E160VM8V.04	0.0	0.0	0.199208368674	0.0	0.0132456884365	0.0	0.0	0.00787390443879	0.0	0.0	0.494840260107	0.00237489397795	0.0	0.0	0.0	0.280831212892	0.0	0.0	0.0	0.001625671473	0.0	0.0	0.0	0.0	0.0
C160SBJS.04	0.0	0.0	0.174014678836	0.0	0.00794100964265	0.0	0.0	0.0	0.0	0.0	0.107547396827	0.00283607487238	0.0	0.0	0.0	0.706285773217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000154694993039	0.00122037161175
H160S2KY.04	0.0	0.0	0.300220599941	0.0	0.00922198721885	0.0	0.0	0.0	0.0	0.0	0.454117486525	0.00192172113438	0.0	0.0	0.0	0.234415865002	0.0	0.0	0.0	9.09690477815e-05	0.0	0.0	0.0	0.0	1.13711309727e-05
A160RYFF.04	0.0	0.0	0.745209302326	0.0	0.00336744186047	0.0	0.0	0.0	0.0	0.0	0.242530232558	0.000279069767442	0.0	0.0	0.0	0.0081488372093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00046511627907
A160TQMV.04	0.0	0.0	0.00209351011863	0.0	1.55074823602e-05	0.0	0.0	0.0	0.0	0.0	0.560797084593	0.000418702023726	0.0	0.0	0.0	0.436365046135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000310149647205
F160S11D.04	0.0	0.0	0.502489460331	0.0	0.0077259113714	0.0	0.0	0.0	0.0	0.0	0.432193205013	0.00186947978863	0.0	0.0	0.0	0.0556647145228	0.0	0.0	0.0	5.72289731215e-05	0.0	0.0	0.0	0.0	0.0
K160X7TC.04	0.0	0.0	0.127905399908	0.0	0.0327357543869	0.0	0.0	0.0	0.0	0.0	0.184481028451	0.00241382116026	0.0	0.0	0.0	0.644137669171	0.00588538417727	0.0	0.0	0.00141032247566	0.0	0.0	0.0	0.0	0.00103062027067
K160X7V8.04	0.0	0.0	0.328998301262	0.0	0.0213316995739	0.0	0.0	0.0	0.0	0.0	0.233674009301	0.00233924642847	0.0	0.0	0.0	0.413656743435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D160S7QH.04	0.0	0.0	0.0439423774484	0.0	0.00362731889315	0.0	0.0	0.0	0.0	0.0	0.35552907037	0.0	0.0	0.0	0.0	0.596797595606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000103637682661
E160WN13.04	0.0	0.0	0.0651384727572	0.0	0.0163282129326	0.0	0.0	0.0	0.0	0.0	0.719392527068	0.0	0.0	0.0	0.0	0.199140787242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C160S3Q0.04	0.0	0.0	0.0175123120788	0.0	0.00103680663556	0.0	0.0	0.0	0.0	0.0	0.0550641524106	0.0	0.0	0.0	0.0	0.926386728875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B160RSF5.04	0.0	0.0	0.259859522279	0.0	0.00608979413584	0.0	0.0	0.0	0.0	0.0	0.720015042519	0.0045006247498	0.0	0.0	0.0	0.00938944354809	0.0	0.0	0.0	0.0	0.000145572768187	0.0	0.0	0.0	0.0
A160TQ8N.04	0.0	0.0	0.86137181568	0.0	0.00331663255945	0.0	0.0	0.0	0.0	0.0	0.124973537506	0.0	0.0	0.0	0.0	0.00892668125044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00141133300402
J160QKF8.04	0.0	0.0	0.0240634720281	0.0	0.000577018437542	0.0	0.0	0.0	0.0	0.0	0.971536762386	0.0	0.0	0.0	0.0	0.00380471532254	0.0	0.0	0.0	0.0	1.80318261732e-05	0.0	0.0	0.0	0.0
F160SBC7.04	0.0	5.77025720922e-05	0.0540673100503	0.0	0.00577025720922	0.0	0.0	0.00903045253242	0.0	0.0	0.589402922635	0.000346215432553	0.0	0.0	0.0	0.341325139568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K160R6P6.04	0.0	0.0	0.608040264874	0.0	0.0133453653453	0.0	0.0	0.0	0.0	0.0	0.322233378665	0.0	0.0	0.0	0.0	0.0560251147066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000355876409207
H160VK34.04	0.0	0.0	0.0341198564549	0.0	0.00925977575724	0.0	0.0	3.71878544467e-05	0.0	0.0	0.679849761068	0.0	0.0	0.0	0.0	0.276733418865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D160TQ47.04	0.0	0.0	0.612849740933	0.0	0.00113989637306	0.0	0.0	0.0	0.0	0.0	0.224041450777	0.00224525043178	0.0	0.0	0.0	0.159723661485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H160TQRS.04	0.0	0.0	0.0172850044203	0.0	0.00652379355547	0.0	0.0	0.0	0.0	0.0	0.201826052495	0.0	0.0	0.0	0.0	0.774365149529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G160RFSQ.04	0.0	0.0	0.0417299309399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.160209629231	0.0	0.0	0.0	0.0	0.798011461037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.8978792183e-05
