SampleID	k__Bacteria|Other|Other	k__Bacteria|p__Acidobacteria|c__Acidobacteria-6	k__Bacteria|p__Acidobacteria|c__Acidobacteriia	k__Bacteria|p__Acidobacteria|c__Solibacteres	k__Bacteria|p__Acidobacteria|c__Sva0725	k__Bacteria|p__Acidobacteria|c__[Chloracidobacteria]	k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	k__Bacteria|p__Actinobacteria|c__Actinobacteria	k__Bacteria|p__Actinobacteria|c__Coriobacteriia	k__Bacteria|p__Actinobacteria|c__MB-A2-108	k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	k__Bacteria|p__Actinobacteria|c__OPB41	k__Bacteria|p__Actinobacteria|c__Thermoleophilia	k__Bacteria|p__Armatimonadetes|c__	k__Bacteria|p__Bacteroidetes|Other	k__Bacteria|p__Bacteroidetes|c__	k__Bacteria|p__Bacteroidetes|c__Bacteroidia	k__Bacteria|p__Bacteroidetes|c__Cytophagia	k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	k__Bacteria|p__Bacteroidetes|c__VC2_1_Bac22	k__Bacteria|p__Bacteroidetes|c__[Rhodothermi]	k__Bacteria|p__Bacteroidetes|c__[Saprospirae]	k__Bacteria|p__Chlorobi|c__OPB56	k__Bacteria|p__Chloroflexi|c__Anaerolineae	k__Bacteria|p__Chloroflexi|c__C0119	k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	k__Bacteria|p__Chloroflexi|c__S085	k__Bacteria|p__Chloroflexi|c__TK10	k__Bacteria|p__Chloroflexi|c__Thermomicrobia	k__Bacteria|p__Cyanobacteria|Other	k__Bacteria|p__Cyanobacteria|c__	k__Bacteria|p__Cyanobacteria|c__4C0d-2	k__Bacteria|p__Cyanobacteria|c__Chloroplast	k__Bacteria|p__Cyanobacteria|c__ML635J-21	k__Bacteria|p__Cyanobacteria|c__Nostocophycideae	k__Bacteria|p__Cyanobacteria|c__Oscillatoriophycideae	k__Bacteria|p__Cyanobacteria|c__Synechococcophycideae	k__Bacteria|p__Elusimicrobia|c__Elusimicrobia	k__Bacteria|p__FBP|c__	k__Bacteria|p__Firmicutes|Other	k__Bacteria|p__Firmicutes|c__Bacilli	k__Bacteria|p__Firmicutes|c__Clostridia	k__Bacteria|p__Firmicutes|c__Erysipelotrichi	k__Bacteria|p__Fusobacteria|c__Fusobacteriia	k__Bacteria|p__Gemmatimonadetes|c__Gemm-1	k__Bacteria|p__Gemmatimonadetes|c__Gemm-3	k__Bacteria|p__Gemmatimonadetes|c__Gemm-5	k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	k__Bacteria|p__Nitrospirae|c__Nitrospira	k__Bacteria|p__Planctomycetes|c__Phycisphaerae	k__Bacteria|p__Planctomycetes|c__Planctomycetia	k__Bacteria|p__Proteobacteria|Other	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	k__Bacteria|p__Proteobacteria|c__TA18	k__Bacteria|p__SR1|c__	k__Bacteria|p__Spirochaetes|c__Spirochaetes	k__Bacteria|p__Synergistetes|c__Synergistia	k__Bacteria|p__TM7|c__	k__Bacteria|p__TM7|c__TM7-1	k__Bacteria|p__TM7|c__TM7-3	k__Bacteria|p__Tenericutes|c__Mollicutes	k__Bacteria|p__Verrucomicrobia|c__Opitutae	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	k__Bacteria|p__WPS-2|c__	k__Bacteria|p__WS3|c__PRR-12	k__Bacteria|p__[Thermi]|c__Deinococci
H160S6Y9.04	0.0	0.0	0.0	0.0	0.000103050288541	0.0	0.000180338004946	0.584243610882	0.0	0.000437963726298	0.0	0.0	0.000437963726298	0.0	0.0	0.0	0.00136541632317	0.000515251442704	0.00146846661171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000231863149217	0.0	0.0	0.0	0.0	0.0	0.0	0.000283388293487	0.0	0.0	0.0	0.0	0.0	0.000437963726298	0.0	0.206100577082	0.00399319868096	2.57625721352e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00350370981039	0.195177246496	0.00110779060181	0.0	0.000283388293487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000103050288541
J160S903.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000804997987505	0.00138249654376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0173074567314	0.0	0.000279999300002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.680520798698	0.0725198187005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000174999562501	0.0505923735191	0.0	0.000332499168752	0.176084559789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K160R985.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.621533977523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.87732381052e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.62577460351e-05	0.377848965445	0.00015754647621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000328221825439	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.62577460351e-05
J160S010.04	0.0	0.00210371017977	0.0	0.0	0.0	0.0	0.00278673296541	0.657696300749	0.0	0.0	0.000286869569969	0.0	0.00129774329272	0.0	0.0	0.0	0.00325118845965	0.0	0.00662532102071	0.000628380962789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000327850937107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.262349051964	0.00728102289492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00286869569969	0.0510491229987	0.000833287798481	0.0	0.0	0.0	0.0	0.0	0.0	0.000614720507076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G160TPYP.04	0.0	0.0	0.0	0.0	0.0	4.66684556241e-05	0.0	0.415850940953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00163339594684	0.0	5.83355695302e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.547735996547	0.00220508452824	0.0	5.83355695302e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.16697973422e-05	0.000338346303275	0.0	0.0	0.0319912263303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
F160S601.04	0.0	0.00405906229778	0.0	0.0	0.0	0.0	0.0115889169951	0.291428907583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0165892111301	0.0	0.00176480969469	0.00552973704336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00370610035884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.415347961645	0.0223542561327	0.0	0.0297958703453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0462968409906	0.109829989999	0.0	0.0	0.0380904759103	0.0	0.0	0.0	0.0	0.0	0.0	0.00361785987411	0.0	0.0	0.0	0.0	0.0	0.0
E160VM8V.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.199208368674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0119168787108	0.0	0.00132880972576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00787390443879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.474229573085	0.0206106870229	0.0	0.00237489397795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00631891433418	0.0696918292338	0.0	0.00161153519932	0.203208934125	0.0	0.0	0.0	0.0	0.0	0.0	0.001625671473	0.0	0.0	0.0	0.0	0.0	0.0
C160SBJS.04	0.0	0.0	0.0	0.0	0.0	0.0	0.000343766651197	0.171831760601	0.0	0.0	0.0	0.0	0.0018391515839	0.0	0.0	0.0	0.00703002801698	0.000395331648877	0.000515649976796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.101772117087	0.00577527974011	0.0	0.00283607487238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00503618144004	0.0528025576239	0.000962546623352	0.0	0.64748448753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000154694993039	0.00122037161175
H160S2KY.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.300084146369	0.000136453571672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00782333810921	0.0	0.00139864910964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.442553046326	0.0115644401992	0.0	0.00192172113438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13711309727e-05	0.156000545814	0.0	0.0	0.0784039480567	0.0	0.0	0.0	0.0	0.0	0.0	9.09690477815e-05	0.0	0.0	0.0	0.0	0.0	1.13711309727e-05
A160RYFF.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.745209302326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00279069767442	0.0	0.000576744186047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.232893023256	0.00920930232558	0.000427906976744	0.000279069767442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000483720930233	0.00621395348837	0.0	0.0	0.0014511627907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00046511627907
